Marker Name,Description,In,Out,Duration,Marker Type
卡点 193,,00:02:01:04,00:02:01:04,00:00:00:00,Comment
卡点 194,,00:02:01:23,00:02:01:23,00:00:00:00,Comment
卡点 195,,00:02:02:01,00:02:02:01,00:00:00:00,Comment
卡点 196,,00:02:02:15,00:02:02:15,00:00:00:00,Comment
卡点 197,,00:02:02:29,00:02:02:29,00:00:00:00,Comment
卡点 198,,00:02:03:04,00:02:03:04,00:00:00:00,Comment
卡点 199,,00:02:03:18,00:02:03:18,00:00:00:00,Comment
卡点 200,,00:02:03:22,00:02:03:22,00:00:00:00,Comment
卡点 201,,00:02:03:27,00:02:03:27,00:00:00:00,Comment
卡点 202,,00:02:04:25,00:02:04:25,00:00:00:00,Comment
卡点 203,,00:02:05:13,00:02:05:13,00:00:00:00,Comment
卡点 204,,00:02:05:23,00:02:05:23,00:00:00:00,Comment
卡点 205,,00:02:06:07,00:02:06:07,00:00:00:00,Comment
卡点 206,,00:02:06:21,00:02:06:21,00:00:00:00,Comment
卡点 207,,00:02:06:26,00:02:06:26,00:00:00:00,Comment
卡点 208,,00:02:07:05,00:02:07:05,00:00:00:00,Comment
卡点 209,,00:02:07:09,00:02:07:09,00:00:00:00,Comment
卡点 210,,00:02:07:18,00:02:07:18,00:00:00:00,Comment
卡点 211,,00:02:08:16,00:02:08:16,00:00:00:00,Comment
卡点 212,,00:02:08:21,00:02:08:21,00:00:00:00,Comment
卡点 213,,00:02:09:04,00:02:09:04,00:00:00:00,Comment
卡点 214,,00:02:09:14,00:02:09:14,00:00:00:00,Comment
卡点 215,,00:02:09:18,00:02:09:18,00:00:00:00,Comment
卡点 216,,00:02:09:27,00:02:09:27,00:00:00:00,Comment
卡点 217,,00:02:10:02,00:02:10:02,00:00:00:00,Comment
卡点 218,,00:02:10:05,00:02:10:05,00:00:00:00,Comment
卡点 219,,00:02:10:11,00:02:10:11,00:00:00:00,Comment
卡点 220,,00:02:10:17,00:02:10:17,00:00:00:00,Comment
卡点 221,,00:02:10:25,00:02:10:25,00:00:00:00,Comment
卡点 222,,00:02:11:00,00:02:11:00,00:00:00:00,Comment
卡点 223,,00:02:11:05,00:02:11:05,00:00:00:00,Comment
卡点 224,,00:02:11:09,00:02:11:09,00:00:00:00,Comment
卡点 225,,00:02:12:06,00:02:12:06,00:00:00:00,Comment
卡点 226,,00:02:12:26,00:02:12:26,00:00:00:00,Comment
卡点 227,,00:02:13:04,00:02:13:04,00:00:00:00,Comment
卡点 228,,00:02:13:10,00:02:13:10,00:00:00:00,Comment
卡点 229,,00:02:13:18,00:02:13:18,00:00:00:00,Comment
卡点 230,,00:02:14:01,00:02:14:01,00:00:00:00,Comment
卡点 231,,00:02:14:07,00:02:14:07,00:00:00:00,Comment
卡点 232,,00:02:14:15,00:02:14:15,00:00:00:00,Comment
卡点 233,,00:02:14:20,00:02:14:20,00:00:00:00,Comment
